Voltage,Current,Porcentage
56.11,0.3,0
56.79,0.16,0
56.78,0.17,0
56.76,0.16,0
56.73,0.17,0
59.06,2.95,2
59.44,2.97,2
59.61,2.91,2
59.69,2.97,2
59.71,2.94,2
59.82,2.94,2
59.84,2.94,4
59.82,2.94,4
59.86,2.95,4
59.84,2.95,4
59.87,2.93,4
59.19,3.14,4
60.16,2.89,6
60.18,2.93,6
59.47,3.11,6
60.33,2.94,6
60.34,2.93,6
60.41,2.92,6
60.37,2.95,8
60.44,2.96,8
60.42,2.95,8
60.48,2.96,8
60.5,2.95,8
60.52,2.95,8
60.52,2.97,10
60.58,2.98,10
60.42,3.17,10
60.61,2.96,10
60.59,2.94,10
60.69,2.81,10
60.55,3.08,12
60.69,2.89,12
60.55,3.01,12
60.6,3.18,12
60.63,3.09,12
60.72,2.97,12
60.82,2.94,14
60.86,2.9,14
60.74,3.12,14
60.7,3.2,14
60.92,2.96,14
60.72,3.2,14
60.83,2.75,16
60.84,3.16,16
60.9,2.93,16
61.03,2.94,16
60.89,3.19,16
61.06,2.97,16
61.05,2.96,18
61.06,2.95,18
61.1,2.95,18
61.15,2.94,18
61.04,2.87,18
61.06,3.19,18
61.16,2.86,20
61.1,3.13,20
61.27,2.96,20
61.18,3.16,20
61.18,3.15,20
61.34,2.91,20
61.3,3.15,22
61.38,2.96,22
61.25,3.21,22
61.39,2.97,22
61.42,3,22
61.5,2.92,22
61.31,3.21,22
61.36,3.15,24
61.36,3.17,24
61.59,2.92,24
61.63,2.86,24
61.63,2.94,24
61.69,2.93,24
61.66,2.95,24
61.76,2.91,26
61.65,2.98,26
61.63,3.18,26
61.64,3.16,26
61.85,2.89,26
61.92,2.92,26
61.95,2.78,26
61.92,2.93,28
61.79,3.17,28
61.84,3.19,28
61.8,3.05,28
61.83,3.24,28
61.99,2.91,28
61.85,3.09,28
61.81,3.16,30
61.86,3.2,30
62.05,2.91,30
61.93,3.05,30
61.98,3.12,30
61.98,3.05,30
62.13,2.92,30
62.04,3.05,32
61.98,3.15,32
62.07,3.04,32
62.09,3.14,32
62.1,3.17,32
62.24,2.95,32
62.11,3.15,32
62.16,3.15,34
62.23,2.96,34
62.16,3.19,34
62.26,2.77,34
62.18,3.21,34
62.23,3.11,34
62.26,3.11,34
62.29,2.96,36
62.25,3.2,36
62.28,2.95,36
62.31,3.04,36
62.34,2.94,36
62.25,3.04,36
62.36,2.96,36
62.26,3.04,38
63.16,3.14,38
63.3,2.89,38
63.33,2.91,38
63.34,3.33,38
63.21,3.12,38
63.19,3.07,38
63.42,2.92,40
63.31,2.98,40
62.88,2.92,40
63.64,2.99,40
63.74,2.83,40
63.66,3,40
63.67,2.96,40
63.69,2.95,42
63.67,2.94,42
63.72,2.95,42
63.69,3,42
63.67,3.03,42
63.76,3.05,42
63.75,3.01,42
63.81,3.06,44
63.9,2.96,44
63.87,3.03,44
63.89,3.08,44
63.86,3.06,44
63.89,2.96,44
64.1,2.78,44
64.11,2.88,46
63.99,3.06,46
64.17,2.86,46
64,3.07,46
64,2.99,46
64.05,3.03,46
64.11,3.05,46
64.11,3.05,48
64.28,2.84,48
64.24,2.77,48
64.33,2.81,48
64.33,2.8,48
64.31,2.82,48
64.25,3.02,48
64.25,3.09,50
64.31,3.06,50
64.51,2.81,50
64.34,3.03,50
64.47,2.83,50
64.49,2.81,50
64.51,2.81,50
64.42,3.09,52
64.55,2.85,52
64.59,2.87,52
64.45,3.02,52
64.69,2.81,52
64.52,2.99,52
64.69,2.8,54
64.64,2.81,54
64.69,2.77,54
64.52,3.01,54
64.69,2.81,54
64.62,3.07,54
64.6,3.05,56
64.86,2.81,56
64.88,2.78,56
64.9,2.78,56
64.8,3.08,56
64.8,3,56
64.89,2.95,58
64.89,3.01,58
65.01,2.58,58
65.03,2.72,58
64.95,3.01,58
64.91,2.93,58
64.86,3.04,60
64.89,2.93,60
64.91,3.01,60
65.18,2.76,60
65.06,2.94,60
65.28,2.8,60
65.31,2.79,60
65.29,2.79,62
65.27,2.8,62
65.18,3.02,62
65.36,2.75,62
65.39,2.75,62
65.52,2.79,62
65.42,2.71,62
65.38,3.04,64
65.43,3.02,64
65.57,2.77,64
65.61,2.77,64
65.65,2.78,64
65.61,2.76,64
65.6,2.77,64
65.75,2.77,66
65.62,2.89,66
65.74,2.75,66
65.81,2.76,66
65.85,2.74,66
65.9,2.78,66
65.95,2.74,66
65.99,2.74,68
65.93,2.99,68
66.08,2.76,68
66.16,2.73,68
66.17,2.76,68
66.25,2.78,68
66.33,2.7,68
66.33,2.74,70
66.32,2.74,70
66.44,2.73,70
66.47,2.73,70
66.35,2.97,70
66.44,2.97,70
66.62,2.75,70
66.79,2.75,72
66.81,2.74,72
66.72,2.97,72
67,2.71,72
67.09,2.71,72
67.16,2.69,72
67.37,2.69,72
67.57,2.7,74
67.8,2.7,74
67.89,2.7,74
68.14,2.71,74
68.31,2.7,74
68.33,2.95,74
68.6,2.67,74
68.64,2.66,76
68.81,2.66,76
69.03,2.68,76
69.21,2.66,76
69.39,2.62,76
69.67,2.62,76
69.8,2.63,76
69.76,2.9,78
69.9,2.63,78
69.88,2.82,78
70.14,2.55,78
70.23,2.61,78
70.33,2.62,78
70.38,2.59,78
70.37,2.56,80
70.39,2.54,80
70.45,2.51,80
70.44,2.45,80
70.28,2.69,80
70.48,2.41,80
70.45,2.39,80
70.49,2.37,82
70.47,2.34,82
70.49,2.31,82
70.48,2.29,82
70.52,2.25,82
70.52,2.23,82
70.48,2.22,82
70.55,2.19,84
70.52,2.17,84
70.47,2.14,84
70.49,2.09,84
70.58,2.05,84
70.56,2.06,84
70.57,2.05,84
70.57,1.98,86
